run_tag,run_datetime,dataset,victim_type,seed,d_in,max_rows,budget_target,gen_mode,adv_norm,epochs,batch_size,query_budget,extract_sec,queries_per_sec,ms_per_query,teacher_auroc,teacher_auprc,student_auroc,student_auprc,fidelity_mse,fidelity_mae,fidelity_spearman
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,50,gen_var,standard,20,1024,50,0.05817747116088867,859.4392125042006,1.1635494232177734,0.874710710962261,0.7271649883086218,0.8068727275881202,0.4629567644617111,51.74264907836914,2.692744016647339,0.8421034220791058
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,100,gen_var,standard,20,1024,100,0.06582450866699219,1519.1909825852626,0.6582450866699219,0.874710710962261,0.7271649883086218,0.8013196923576174,0.44628395297401413,51.793800354003906,2.7114641666412354,0.8175129380023791
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,200,gen_var,standard,20,1024,200,0.06504487991333008,3074.8000498500833,0.3252243995666504,0.874710710962261,0.7271649883086218,0.8391098039644092,0.46291659608540237,52.0771598815918,2.7200233936309814,0.7722244183598989
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,500,gen_var,standard,20,1024,500,0.06566953659057617,7613.880437702859,0.13133907318115234,0.874710710962261,0.7271649883086218,0.8187487207364572,0.448079957201974,51.45984649658203,2.699313163757324,0.753583185685437
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,1000,gen_var,standard,20,1024,1000,0.06718230247497559,14884.872401812743,0.06718230247497559,0.874710710962261,0.7271649883086218,0.8422650049958743,0.4746082116703082,51.575958251953125,2.704259157180786,0.7923360398674989
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,2000,gen_var,standard,20,1024,2000,0.13846778869628906,14443.792443213906,0.06923389434814453,0.874710710962261,0.7271649883086218,0.8426118673801757,0.5181898257916364,51.19343948364258,2.6834285259246826,0.6517981435070107
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,5000,gen_var,standard,20,1024,5000,0.38070225715637207,13133.62320819198,0.07614045143127442,0.874710710962261,0.7271649883086218,0.8202880698450907,0.5477226247965004,48.89844512939453,2.471820831298828,0.41369171380980696
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,10000,gen_var,standard,20,1024,10000,0.774533748626709,12910.99324946208,0.0774533748626709,0.874710710962261,0.7271649883086218,0.8432459429181708,0.6497571818949807,21.84762191772461,1.3780866861343384,0.5419826865162616
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,50000,gen_var,standard,20,1024,50000,3.2764291763305664,15260.516040208582,0.06552858352661133,0.874710710962261,0.7271649883086218,0.837568578451213,0.5612080800649037,24.3070125579834,3.9601199626922607,0.897212200351778
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,100000,gen_var,standard,20,1024,100000,6.575962543487549,15206.899269679416,0.06575962543487548,0.874710710962261,0.7271649883086218,0.8528847947539712,0.6348705681455591,27.4312801361084,3.5247409343719482,0.9119780972763832
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,500000,gen_var,standard,20,1024,500000,33.516456842422485,14918.044659396677,0.06703291368484497,0.874710710962261,0.7271649883086218,0.8492633939541642,0.5873902624407148,37.52083969116211,2.8908627033233643,0.9195223083463868
CIC-IDS2017_pyod-AE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-AE,42,69,200000,1000000,gen_var,standard,20,1024,1000000,67.94502210617065,14717.78165643104,0.06794502210617065,0.874710710962261,0.7271649883086218,0.840771419399728,0.5806994372688737,31.974580764770508,2.1474874019622803,0.9091824760896978
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,50,gen_var,standard,20,1024,50,0.03964376449584961,1261.2323939426742,0.7928752899169922,0.8519524795500771,0.612980431234566,0.7887000105065682,0.4553206244904726,115.84919738769531,5.91422700881958,0.9543843246302863
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,100,gen_var,standard,20,1024,100,0.06123042106628418,1633.1751155483043,0.6123042106628418,0.8519524795500771,0.612980431234566,0.7992472902836846,0.43977988650561545,118.14981079101562,6.000097274780273,0.8436359705004184
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,200,gen_var,standard,20,1024,200,0.06765270233154297,2956.2751096012066,0.33826351165771484,0.8519524795500771,0.612980431234566,0.8410062002634401,0.4605841047456429,118.48050689697266,6.0110249519348145,0.8116411973416433
CIC-IDS2017_pyod-VAE_TEMPEST_TRAJ_max1000000_gen_var_standard,2026-02-28 13:45:19,CIC-IDS2017,pyod-VAE,42,69,200000,500,gen_var,standard,20,1024,500,0.07280421257019043,6867.7344668476535,0.14560842514038086,0.8519524795500771,0.612980431234566,0.8263185016435034,0.4469459997174213,117.5167007446289,5.989277362823486,0.8349768127120032
